GF Application Submitted to DoITT (A),CBL Link ID,Latitude,Longitude,Borough,Zoning,Council District,Community Board,Street Address,Cross_Street 1,Cross_Street 2,Corner_location,Postcode,BID,Site in Business Improvement District (BID)?,Link In Historic District,NTA,GF Permit_Appl_Id,GF DoITT Submitted to CB (A),GF CB Comment Period Ends (A),DoITT NTP Issued (A),BIN,BBL,Census Tract,Location 1
10/05/2016,LINK-005418,40.57739,-74.10267,Staten Island,C2-1,50,502,2154A Hylan Blvd,ZWICKY AVE,MIDLAND AVE,SE,10306,,No,N,New Dorp-Midland Beach,81719,02/14/2017,04/15/2017,04/11/2018,5053558,5036910011,5011202,"(40.57739083, -74.10267054)"
08/16/2017,LINK-022690,40.67092,-73.99176,Brooklyn,M2-1,39,306,200 10th Street,3rd Ave,2nd Ave,SW,11215,,No,N,Park Slope-Gowanus,82196,12/05/2017,02/03/2018,,,3010140044,3012100,"(40.67091755, -73.99176131)"
08/16/2017,LINK-022691,40.66481,-73.98983,Brooklyn,C4-3A,39,307,577 5th Ave,16th Ave,Prospect Ave,SE,11215,Park Slope 5th Avenue,Yes,N,Park Slope-Gowanus,82197,12/01/2017,01/30/2018,,,3010530015,3014100,"(40.664812614170216, -73.98982589203763)"
10/11/2017,LINK-023019,40.80503,-73.93508,Manhattan,C1-4,9,111,174 east 127 street,Lexington Ave,3rd Ave,NW,10035,,No,N,East Harlem North,82423,02/02/2018,04/03/2018,,,1017750040,1024200,"(40.805034, -73.935083)"
08/16/2017,LINK-023020,40.68395,-73.96910,Brooklyn,C2-3,35,302,452 Clermont Ave,Fulton St,Atlantic Ave,SW,11238,Fulton Area,Yes,N,Fort Greene,82199,12/14/2017,02/12/2018,,,3020080013,3017900,"(40.68395193, -73.96910219)"
08/30/2017,LINK-023025,40.65180,-74.01065,Brooklyn,M1-2,38,307,4224 3 AVENUE,43 STREET,GOWANUS EXPRESSWAY,NW,11232,,No,N,Sunset Park West,82272,12/01/2017,01/30/2018,,,3007220043,3000200,"(40.65179654, -74.01064718)"
08/30/2017,LINK-023028,40.64961,-74.01292,Brooklyn,M1-2D,38,307,4620 3rd Avenue,47th Street,46th Street,NW,11220,,No,N,Sunset Park West,82274,12/01/2017,01/30/2018,,,3007540045,3000200,"(40.64961065, -74.01292424)"
08/30/2017,LINK-023029,40.64883,-74.01374,Brooklyn,M1-2D,38,307,274 48TH Street,48 STREET,49 STREET,SW,11220,,No,N,Sunset Park West,82285,12/01/2017,01/30/2018,,,3007720035,3002000,"(40.64882581, -74.01374045)"
08/30/2017,LINK-023030,40.64843,-74.01440,Brooklyn,M1-2D,38,307,284 49 STREET,2 AVENUE,GOWANUS EXPRESSWAY,SW,11220,,No,N,Sunset Park West,82282,12/01/2017,01/30/2018,,,3007810039,3002000,"(40.64842558, -74.01440402)"
08/30/2017,LINK-023033,40.65472,-74.00692,Brooklyn,M1-2D,38,307,969 3 ave,37th Street,38th Street,SE,11232,,No,N,Sunset Park West,82283,12/01/2017,01/30/2018,,,3007000007,3008400,"(40.65471658, -74.00691763)"
09/15/2017,LINK-023035,40.64732,-74.01531,Brooklyn,M1-2D,38,307,5024 3rd Avenue,51st Street,50th Street,NW,11220,,No,N,Sunset Park West,82317,12/01/2017,01/30/2018,,,3007890046,3002000,"(40.64731995, -74.01530976)"
08/30/2017,LINK-023036,40.64668,-74.01604,Brooklyn,M1-2D,38,307,284 52 street,3rd Ave,2nd Ave,SW,11220,,No,N,Sunset Park West,82277,12/01/2017,01/30/2018,,,3008050045,3002000,"(40.64667991, -74.01604393)"
08/30/2017,LINK-023038,40.65512,-74.00650,Brooklyn,M1-2D,38,307,951 3 AVENUE,36 STREET,37 STREET,SE,11232,,No,N,Sunset Park West,82276,12/01/2017,01/30/2018,,,3006960012,3008400,"(40.65512316, -74.00649619)"
09/15/2017,LINK-018052,40.69323,-73.99075,Brooklyn,C5-2A,33,302,26 Court St,Montague St,Remsen St,NW,11201,,No,Y,Brooklyn Heights-Cobble Hill,81656,12/14/2017,02/12/2018,,3002094,3002500001,3000900,"(40.693232, -73.99075)"
09/28/2016,LINK-018372,40.78540,-73.94934,Manhattan,C1-5,5,111,1710 3rd Ave,E 96th St,E 97th St,NW,10029,,No,N,East Harlem South,81630,02/02/2018,04/03/2018,,1082901,1016240033,1015802,"(40.78540009, -73.9493395)"
09/28/2016,LINK-018374,40.80037,-73.93810,Manhattan,C4-4D,8,111,2201 3 AVENUE,EAST 120 STREET,EAST 119 STREET,SE,10035,,No,N,East Harlem North,81631,10/03/2016,12/02/2016,,1054564,1017840045,1019400,"(40.80037311004839, -73.93809872282071)"
09/16/2016,LINK-018411,40.58949,-74.10127,Staten Island,C1-1,50,502,1660 Richmond Rd,Buel Ave,Liberty Ave,NE,10304,,No,N,Old Town-Dongan Hills-South Beach,81709,02/14/2017,04/15/2017,04/11/2018,5050551,5035300001,5011401,"(40.58948831, -74.10127071)"
09/01/2017,LINK-019311,40.86199,-73.89334,Bronx,C4-4,15,207,331 East Fordham Road,Bainbridge Avenue,Marion Avenue,NE,10458,Fordham Road,Yes,N,Bedford Park-Fordham North,82280,11/03/2017,01/02/2018,,2016586,2032860001,2039901,"(40.86199370286963, -73.89333731502973)"
09/28/2017,LINK-020293,40.84562,-73.93875,Manhattan,C1-4,10,112,4121 BROADWAY,WEST 174 STREET,WEST 175 STREET,NW,10033,,No,N,Washington Heights South,82361,02/16/2018,04/17/2018,,,1021420244,1026300,"(40.84561735584089, -73.93874610692421)"
09/28/2017,LINK-020296,40.84164,-73.93911,Manhattan,C2-4,10,112,565 WEST 169 STREET,WEST 169 STREET,BROADWAY,NE,10032,,No,N,Washington Heights South,82418,02/16/2018,04/17/2018,,,1021260001,1025300,"(40.84164226, -73.93911127)"
12/12/2017,LINK-020304,40.86022,-73.92876,Manhattan,C1-4,10,112,68 NAGLE AVENUE,ELLWOOD STREET,Hillside Avenue,NW,10040,,No,N,Washington Heights North,82554,02/16/2018,04/17/2018,,,1021720056,1028500,"(40.860223425618436, -73.92875503695893)"
10/11/2017,LINK-020405,40.72879,-74.00029,Manhattan,C1-5,1,102,169 BLEECKER STREET,SULLIVAN STREET,THOMPSON STREET,NE,10012,,No,Y,West Village,82409,12/15/2017,02/13/2018,,,1005390042,1006500,"(40.72878718, -74.000292)"
09/28/2017,LINK-020410,40.78696,-73.95448,Manhattan,C1-5,4,108,1366 MADISON AVENUE,95th St,96th St,MIDBLOCK,10128,,No,Y,Upper East Side-Carnegie Hill,82367,01/10/2018,03/11/2018,,,1015070056,1016001,"(40.78696469, -73.95448023)"
09/28/2017,LINK-020411,40.79117,-73.95141,Manhattan,C2-5,8,111,1490 Madison Ave,102nd St,103rd St,NE,10029,,No,N,East Harlem South,82378,02/02/2018,04/03/2018,,,1016080017,1016800,"(40.79117041, -73.95140762)"
07/28/2017,LINK-020413,40.72426,-74.00500,Manhattan,M1-6,3,102,121 6 AVENUE,6 AVE,BROOME STREET,SW,10013,Hudson Square,Yes,N,SoHo-TriBeCa-Civic Center-Little Italy,82092,12/15/2017,02/13/2018,,,1004777501,1003700,"(40.72426124, -74.00499516)"
07/28/2017,LINK-020415,40.77542,-73.95029,Manhattan,C1-9,5,108,1608 1 Ave,E 84th,E 83rd,MIDBLOCK,10028,,No,N,Yorkville,82058,10/02/2017,12/01/2017,,1085139,1015630004,1013600,"(40.77541825, -73.9502902)"
07/05/2017,LINK-020420,40.71288,-74.00987,Manhattan,C5-3,1,101,45 BARCLAY STREET,Church St,W Broadway,NW,10007,Alliance for Downtown NY,Yes,N,SoHo-TriBeCa-Civic Center-Little Italy,82038,12/15/2017,02/13/2018,,1001409,1001250020,1002100,"(40.71288051664392, -74.00986574790716)"
09/28/2017,LINK-020425,40.77957,-73.97736,Manhattan,C1-8A,6,107,322 COLUMBUS AVENUE,WEST 76 STREET,WEST 75 STREET,,10023,Columbus Avenue,Yes,Y,Upper West Side,82363,02/02/2018,04/03/2018,,,1011470030,1016100,"(40.77956501, -73.97735812)"
10/11/2017,LINK-020430,40.73721,-74.00139,Manhattan,C2-7,3,102,76 GREENWICH AVENUE,BANK STREET,WEST 12 STREET,SW,10011,,No,Y,West Village,82412,12/15/2017,02/13/2018,,,1006170001,1007700,"(40.737210985126, -74.00139398005945)"
10/10/2017,LINK-020432,40.72950,-74.00491,Manhattan,C2-6,3,102,75 Carmine St.,7 AVE,BEDFORD ST,SE,10014,,No,N,West Village,82407,12/15/2017,02/13/2018,,,1005287501,1006700,"(40.72949854523542, -74.00490615936337)"
10/10/2017,LINK-020435,40.73014,-74.00467,Manhattan,C2-6,3,102,15 7th Ave S,LEROY ST,CARMINE ST,SE,10014,,No,N,West Village,82408,12/15/2017,02/13/2018,,,1005820026,1006700,"(40.73014393, -74.00466812)"
07/05/2017,LINK-020440,40.72167,-74.00554,Manhattan,C6-2A,1,101,7 LAIGHT STREET,6TH AVENUE,ST JOHNS LANE,SW,10013,,No,N,SoHo-TriBeCa-Civic Center-Little Italy,82019,12/15/2017,02/13/2018,,1002736,1002127503,1003300,"(40.721666604609894, -74.00553964159735)"
07/05/2017,LINK-020442,40.71052,-74.01102,Manhattan,C5-5,1,101,19 CHURCH STREET,Cortlandt St,Dey St,NE,10007,Alliance for Downtown NY,Yes,N,Battery Park City-Lower Manhattan,82035,12/15/2017,02/13/2018,,1001070,1000630006,1001300,"(40.71052357, -74.01101868)"
10/10/2017,LINK-020445,40.72225,-74.00572,Manhattan,M1-6,1,102,417 CANAL STREET,SULLIVAN ST,6 AVE,NW,10013,,No,N,SoHo-TriBeCa-Civic Center-Little Italy,82405,12/15/2017,02/13/2018,,,1002270080,1003700,"(40.72225239644781, -74.00571676370703)"
10/11/2017,LINK-020446,40.73339,-73.99317,Manhattan,C1-7,2,102,81 UNIVERSITY PLACE,E 11 St,E 12 St,NE,10003,Village,Yes,N,West Village,82414,12/15/2017,02/13/2018,,,1005630001,1006100,"(40.73339176797631, -73.99316633887923)"
06/30/2017,LINK-020458,40.70668,-74.01250,Manhattan,C5-5,1,101,56 BROADWAY,Exchange Pl,Morris Ave,,10004,Alliance for Downtown NY,Yes,N,Battery Park City-Lower Manhattan,82010,12/15/2017,02/13/2018,,1000814,1000220028,1000900,"(40.70667684, -74.01249715)"
10/06/2017,LINK-020477,40.72245,-73.99940,Manhattan,M1-5B,1,102,503 BROADWAY,Spring St,Broome St,MIDBLOCK,10012,SoHo Broadway,Yes,Y,SoHo-TriBeCa-Civic Center-Little Italy,82390,12/15/2017,02/13/2018,,,1004847502,1004900,"(40.72245337, -73.999404)"
10/11/2017,LINK-020481,40.73491,-74.00020,Manhattan,C1-6,3,102,33 GREENWICH AVENUE,W 10 STREET,CHARLES STREET,NW,10014,,No,Y,West Village,82416,12/15/2017,02/13/2018,,,1006110065,1007100,"(40.734912218005164, -74.00020406274791)"
10/18/2017,LINK-020486,40.80034,-73.93565,Manhattan,C1-5,8,111,251 EAST 121 STREET,2 AVENUE,3 AVENUE,,10035,,No,N,East Harlem North,82450,02/02/2018,04/03/2018,,,1017860022,1019400,"(40.80033926, -73.93565326)"
02/14/2018,LINK-020511,40.81610,-73.91114,Bronx,C2-4,17,201,589 WESTCHESTER AVENUE,EAGLE AVE,ST. ANNS AVE,SE,10455,,No,N,Melrose South-Mott Haven North,82620,03/09/2018,05/08/2018,,,2026170092,2007500,"(40.8160996135907, -73.91113780839152)"
02/14/2018,LINK-020512,40.81623,-73.91197,Bronx,C2-4,17,201,633 ST ANN'S AVENUE,WESTCHESTER AVE,RAE STREET,NW,10455,,No,N,Melrose South-Mott Haven North,82617,03/09/2018,05/08/2018,,,2023590130,2007100,"(40.81623483130348, -73.91196922997528)"
02/14/2018,LINK-020520,40.81870,-73.90386,Bronx,C2-4,17,201,785 WESTCHESTER AVENUE,UNION AVE,TINTON AVE,NW,10456,,No,N,Melrose South-Mott Haven North,82626,03/09/2018,05/08/2018,,,2026550022,2007700,"(40.818696163833515, -73.90385547737219)"
02/14/2018,LINK-020545,40.81587,-73.90894,Bronx,C2-4,8,201,642 WESTCHESTER AVENUE,TRINITY AVE,JACKSON AVE,SE,10455,,No,N,Melrose South-Mott Haven North,82627,03/09/2018,05/08/2018,,,2026230191,2007300,"(40.81586572113827, -73.90894427555725)"
08/21/2017,LINK-021185,40.69767,-73.93634,Brooklyn,C2-3,34,304,913 BROADWAY,ARION PLACE,STOCKTON STREET,SE,11206,,No,N,Bushwick South,82212,11/16/2017,01/15/2018,,3071870,3031500005,3038900,"(40.69767293, -73.93633623)"
10/11/2017,LINK-020556,40.83346,-73.91408,Bronx,C1-4,16,204,1220 MORRIS AVENUE,MORRIS AVENUE,EAST 167 STREET,,10456,,No,N,East Concourse-Concourse Village,82428,02/16/2018,04/17/2018,,,2024500056,2017901,"(40.83345606936106, -73.91408029605742)"
11/08/2017,LINK-020591,40.81541,-73.91584,Bronx,C4-4,17,201,459 E 149TH STREET,BERGEN AVE,BROOK AVE,MIDBLOCK,10455,,No,N,Melrose South-Mott Haven North,82494,03/09/2018,05/08/2018,,,2022947501,2007100,"(40.81540713759997, -73.91583512596657)"
10/19/2017,LINK-020895,40.75770,-73.86165,Queens,C2-4,21,403,107-06 Northern Blvd,107th St,108th St,SE,11368,,No,N,North Corona,82433,01/19/2018,03/20/2018,,,4017220001,4038100,"(40.75770476140368, -73.86164631935361)"
10/19/2017,LINK-020904,40.75777,-73.85992,Queens,C2-4,21,403,109-10 Northern Blvd,109th St,110th St,SW,11368,,No,N,North Corona,82434,01/19/2018,03/20/2018,,,4017240007,4038100,"(40.75776591, -73.85992172)"
11/16/2017,LINK-020888,40.75424,-73.82804,Queens,C1-2,20,407,135-77 FRANKLIN AVENUE,Main St,Saul St,NW,11355,,No,N,Flushing,82506,01/19/2018,03/20/2018,,,4051220029,4085300,"(40.75423936454663, -73.82803991275392)"
06/21/2017,LINK-020891,40.75535,-73.88642,Queens,C1-2,25,403,80-28 Northern Boulevard,81 St,80 St,,11372,,No,N,Jackson Heights,81985,07/19/2017,09/17/2017,,4028773,4012530001,4028500,"(40.7553507, -73.88641871)"
10/23/2017,LINK-020897,40.75776,-73.86550,Queens,C2-4,21,403,103-01 Northern Boulevard,103rd St,104th St,NE,11369,,No,N,East Elmhurst,82454,01/19/2018,03/20/2018,,,4016980047,4036500,"(40.75775573896283, -73.86549842562403)"
11/20/2017,LINK-020901,40.76039,-73.84571,Queens,C4-4,21,407,33-01 126 Street,Northern Blvd,Shea Rd,NE,11368,,No,N,park-cemetery-etc-Queens,82507,01/19/2018,03/20/2018,,,4018200001,4038301,"(40.760390197870166, -73.84571148497025)"
10/06/2017,LINK-020923,40.75249,-73.93243,Queens,M1-3/R7X,26,401,32-03 39th Ave,31 ST,32 ST,NW,11101,,No,N,Queensbridge-Ravenswood-Long Island City,82386,12/01/2017,01/30/2018,,,4003820029,4003100,"(40.75249045556027, -73.93243219555336)"
10/30/2017,LINK-020938,40.75073,-73.85899,Queens,C1-4,21,403,39-24 108th St,108th St,104th St,NW,11368,,No,N,North Corona,82464,01/19/2018,03/20/2018,,,4017760039,4040300,"(40.750729417916425, -73.85899073242206)"
10/19/2017,LINK-020941,40.75707,-73.86953,Queens,C2-4,21,403,33-10 99 street,Northern Blvd,34th Ave,SW,11368,,No,N,North Corona,82445,01/19/2018,03/20/2018,,,4017130010,4037700,"(40.75706684230285, -73.86953078864042)"
10/11/2017,LINK-020954,40.74436,-73.91471,Queens,C1-4,26,402,43-02 50 STREET,43 AVENUE,QUEENS BOULEVARD,,11377,,No,N,Hunters Point-Sunnyside-West Maspeth,82451,11/03/2017,01/02/2018,,4001288,4001380024,4025301,"(40.74435567184827, -73.91471298684007)"
10/30/2017,LINK-020955,40.75143,-73.85922,Queens,C1-4,21,403,39-06 108th St,39th Ave,Roosevelt Ave,SW,11368,,No,N,North Corona,82465,01/19/2018,03/20/2018,,,4017767501,4040300,"(40.75142587, -73.85922041)"
10/30/2017,LINK-020956,40.75244,-73.85973,Queens,C1-4,21,403,37-58 108th St,37th Dr,38th Ave,NW,11368,,No,N,North Corona,82466,01/19/2018,03/20/2018,,,4017740040,4040300,"(40.7524357743973, -73.85972891228585)"
10/19/2017,LINK-020963,40.77319,-73.90691,Queens,C2-3,22,401,38-00 Ditmars Blvd on 38 Street,DITMARS BLVD,23 AVE,SE,11105,,No,N,Steinway,82437,12/01/2017,01/30/2018,,,4008050032,4011900,"(40.77318843431351, -73.9069075316147)"
11/16/2017,LINK-020966,40.75190,-73.82627,Queens,C2-2,20,407,43-25 Main St,Dahlia Ave,Cherry Ave,NE,11355,,No,N,Flushing,82504,01/19/2018,03/20/2018,,,4051400058,4079701,"(40.75190356, -73.8262691)"
11/16/2017,LINK-020967,40.75603,-73.82865,Queens,C1-2,20,407,41-70 Main St,Maple Ave,Sanford Ave,MIDBLOCK,11355,,No,N,Flushing,82505,01/19/2018,03/20/2018,,,4051210020,4084900,"(40.756028162982034, -73.82864883790984)"
10/23/2017,LINK-020973,40.75730,-73.86782,Queens,C2-4,21,403,100-18 Northern Blvd,101st St,100th St,SW,11368,,No,N,North Corona,82455,01/19/2018,03/20/2018,,,4017150008,4037700,"(40.75730069, -73.86781689)"
10/23/2017,LINK-020988,40.77543,-73.91450,Queens,C1-3,22,401,28-02 23rd Ave,28 ST,29 ST,SE,11105,,No,N,Steinway,82459,12/01/2017,01/30/2018,,,4008430035,4011500,"(40.775434, -73.914498)"
10/23/2017,LINK-020991,40.77649,-73.91577,Queens,C1-3,22,401,26-01 23rd Ave,26 ST,27 ST,NE,11105,,No,N,Steinway,82461,12/01/2017,01/30/2018,,,4008560102,4010100,"(40.776492229994204, -73.91577131167412)"
10/19/2017,LINK-020992,40.75817,-73.85745,Queens,C2-4,21,403,112-15 Northern Blvd,112th St,112th Pl,NE,11369,,No,N,East Elmhurst,82439,01/19/2018,03/20/2018,,,4017067501,4037300,"(40.75817196, -73.85745426)"
10/19/2017,LINK-021001,40.75780,-73.86446,Queens,C2-4,21,403,104-1 Northern Boulevard,104th St,105th St,NE,11369,,No,N,East Elmhurst,82440,01/19/2018,03/20/2018,,,4016990043,4036500,"(40.75779521897306, -73.8644595732788)"
10/19/2017,LINK-021015,40.75788,-73.85812,Queens,C2-4,21,403,111-12 Northern Blvd,111th St,112th St,SE,11368,,No,N,North Corona,82442,01/19/2018,03/20/2018,,,4017260005,4038100,"(40.75787918304756, -73.85812129165674)"
